Processes: 1
Size:  640 | Runs:     6.31 ms      7.01 ms         7.71 ms         8.32 ms         8.93 ms      | Avg Time:   621.89 ms
Size:  768 | Runs:    10.30 ms     11.68 ms        12.98 ms        14.52 ms        15.81 ms      | Avg Time:  1322.71 ms
Size:  896 | Runs:    17.40 ms     19.12 ms        20.82 ms        22.41 ms        24.01 ms      | Avg Time:  1575.53 ms
Size: 1024 | Runs:    27.83 ms     30.89 ms        33.94 ms        37.01 ms        40.05 ms      | Avg Time:  3126.40 ms
Size: 1152 | Runs:    43.75 ms     47.71 ms        51.58 ms        55.49 ms        59.36 ms      | Avg Time:  3749.22 ms
Size: 1280 | Runs:    65.54 ms     71.95 ms        78.18 ms        84.70 ms        90.79 ms      | Avg Time:  6138.85 ms
Size: 1408 | Runs:    98.26 ms    105.90 ms       113.93 ms       121.63 ms       129.28 ms      | Avg Time:  7565.74 ms
Size: 1536 | Runs:   140.58 ms    152.12 ms       164.35 ms       176.39 ms       188.07 ms      | Avg Time: 11543.71 ms
Size: 1664 | Runs:   200.26 ms    214.02 ms       227.75 ms       241.08 ms       254.42 ms      | Avg Time: 13084.63 ms
Size: 1792 | Runs:   272.62 ms    290.80 ms       308.87 ms       327.21 ms       345.21 ms      | Avg Time: 17924.30 ms
Size: 1920 | Runs:   367.53 ms    389.01 ms       410.29 ms       432.29 ms       454.96 ms      | Avg Time: 21644.72 ms
Size: 2048 | Runs:   509.53 ms    568.44 ms       627.33 ms       685.65 ms       746.60 ms      | Avg Time: 57962.53 ms

Processes: 14
Size:  128 | Runs:     0.28 ms      0.48 ms         0.65 ms         0.77 ms         1.00 ms      | Avg Time:   199.46 ms
Size:  256 | Runs:     1.29 ms      1.58 ms         1.78 ms         2.02 ms         2.17 ms      | Avg Time:   230.18 ms
Size:  384 | Runs:     2.40 ms      2.72 ms         3.09 ms         3.33 ms         3.55 ms      | Avg Time:   263.74 ms
Size:  512 | Runs:     4.09 ms      4.57 ms         5.06 ms         5.44 ms         5.89 ms      | Avg Time:   441.74 ms
Size:  640 | Runs:     6.70 ms      7.50 ms         8.23 ms         8.91 ms         9.69 ms      | Avg Time:   727.58 ms
Size:  768 | Runs:    11.71 ms     13.00 ms        14.36 ms        15.69 ms        17.03 ms      | Avg Time:  1411.12 ms
Size:  896 | Runs:    18.66 ms     20.46 ms        22.33 ms        24.04 ms        25.74 ms      | Avg Time:  1673.39 ms
Size: 1024 | Runs:    29.56 ms     33.00 ms        36.16 ms        39.64 ms        43.07 ms      | Avg Time:  3366.73 ms
Size: 1152 | Runs:    46.88 ms     50.87 ms        55.00 ms        59.15 ms        63.30 ms      | Avg Time:  3916.55 ms
Size: 1280 | Runs:    69.79 ms     76.42 ms        82.97 ms        89.51 ms        96.31 ms      | Avg Time:  6444.54 ms
