Processes: 1
Size:  640 | Runs:     4.23 ms      4.82 ms         5.38 ms         5.99 ms         6.61 ms      | Avg Time:   569.83 ms
Size:  768 | Runs:     7.75 ms      8.96 ms        10.21 ms        11.51 ms        12.78 ms      | Avg Time:  1204.35 ms
Size:  896 | Runs:    14.31 ms     15.88 ms        17.52 ms        19.10 ms        20.63 ms      | Avg Time:  1511.05 ms
Size: 1024 | Runs:    23.93 ms     27.12 ms        30.52 ms        33.76 ms        36.81 ms      | Avg Time:  3160.40 ms
Size: 1152 | Runs:    40.36 ms     44.53 ms        48.54 ms        52.61 ms        56.34 ms      | Avg Time:  3837.19 ms
Size: 1280 | Runs:    62.02 ms     68.20 ms        74.38 ms        81.05 ms        87.13 ms      | Avg Time:  6061.30 ms
Size: 1408 | Runs:    94.59 ms    102.25 ms       109.67 ms       117.25 ms       125.43 ms      | Avg Time:  7536.44 ms
Size: 1536 | Runs:   138.07 ms    149.64 ms       162.11 ms       173.84 ms       186.66 ms      | Avg Time: 12109.40 ms
Size: 1664 | Runs:   200.85 ms    213.28 ms       227.49 ms       241.06 ms       254.79 ms      | Avg Time: 13452.19 ms
Size: 1792 | Runs:   272.81 ms    291.57 ms       309.88 ms       328.99 ms       347.32 ms      | Avg Time: 18328.14 ms
Size: 1920 | Runs:   369.65 ms    390.06 ms       411.82 ms       433.56 ms       454.84 ms      | Avg Time: 21294.43 ms
Size: 2048 | Runs:   508.23 ms    569.24 ms       624.18 ms       677.61 ms       738.99 ms      | Avg Time: 56533.65 ms

Processes: 12
Size:  128 | Runs:     0.19 ms      0.43 ms         0.60 ms         0.69 ms         0.73 ms      | Avg Time:   145.40 ms
Size:  256 | Runs:     0.80 ms      0.96 ms         1.10 ms         1.23 ms         1.39 ms      | Avg Time:   123.61 ms
Size:  384 | Runs:     1.63 ms      1.79 ms         1.96 ms         2.12 ms         2.47 ms      | Avg Time:   207.24 ms
Size:  512 | Runs:     2.93 ms      3.34 ms         3.74 ms         4.26 ms         4.66 ms      | Avg Time:   414.68 ms
Size:  640 | Runs:     5.23 ms      6.00 ms         6.53 ms         7.19 ms         7.83 ms      | Avg Time:   597.77 ms
Size:  768 | Runs:     9.10 ms     10.38 ms        11.63 ms        12.99 ms        14.36 ms      | Avg Time:  1262.37 ms
Size:  896 | Runs:    15.74 ms     17.53 ms        19.12 ms        20.76 ms        22.41 ms      | Avg Time:  1559.69 ms
Size: 1024 | Runs:    25.91 ms     28.97 ms        32.04 ms        35.14 ms        38.27 ms      | Avg Time:  3105.57 ms
Size: 1152 | Runs:    41.84 ms     45.90 ms        50.39 ms        55.26 ms        59.82 ms      | Avg Time:  4208.79 ms
Size: 1280 | Runs:    65.59 ms     71.96 ms        78.31 ms        84.46 ms        90.50 ms      | Avg Time:  6031.51 ms
Size: 1408 | Runs:    97.85 ms    105.80 ms       113.42 ms       121.57 ms       129.31 ms      | Avg Time:  7618.44 ms
Size: 1536 | Runs:   140.62 ms    152.24 ms       164.73 ms       177.49 ms       189.05 ms      | Avg Time: 11793.51 ms
Size: 1664 | Runs:   202.02 ms    214.75 ms       228.40 ms       241.72 ms       255.97 ms      | Avg Time: 13225.68 ms
Size: 1792 | Runs:   273.95 ms    292.97 ms       311.47 ms       330.23 ms       348.67 ms      | Avg Time: 18270.64 ms
Size: 1920 | Runs:   371.02 ms    393.71 ms       415.44 ms       437.11 ms       459.70 ms      | Avg Time: 21964.75 ms
Size: 2048 | Runs:   516.31 ms    581.75 ms       647.77 ms       713.46 ms       784.98 ms      | Avg Time: 64758.97 ms

Processes: 13
Size:  128 | Runs:     0.30 ms      0.43 ms         0.64 ms         0.87 ms         1.04 ms      | Avg Time:   206.51 ms
Size:  256 | Runs:     1.23 ms      1.36 ms         1.45 ms         1.58 ms         1.74 ms      | Avg Time:   136.85 ms
Size:  384 | Runs:     1.94 ms      2.13 ms         2.29 ms         2.47 ms         2.61 ms      | Avg Time:   168.18 ms
Size:  512 | Runs:     3.04 ms      3.41 ms         3.80 ms         4.16 ms         4.71 ms      | Avg Time:   398.48 ms
Size:  640 | Runs:     5.37 ms      6.02 ms         6.73 ms         7.25 ms         7.77 ms      | Avg Time:   581.61 ms
Size:  768 | Runs:     8.88 ms     10.17 ms        11.52 ms        12.78 ms        14.05 ms      | Avg Time:  1216.44 ms
Size:  896 | Runs:    15.42 ms     17.10 ms        18.65 ms        20.29 ms        21.97 ms      | Avg Time:  1520.10 ms
Size: 1024 | Runs:    25.42 ms     28.69 ms        31.80 ms        34.89 ms        37.92 ms      | Avg Time:  3101.43 ms
Size: 1152 | Runs:    41.50 ms     45.39 ms        49.29 ms        53.19 ms        56.99 ms      | Avg Time:  3715.81 ms
Size: 1280 | Runs:    62.85 ms     69.16 ms        75.40 ms        82.01 ms        88.02 ms      | Avg Time:  6092.62 ms
Size: 1408 | Runs:    95.48 ms    103.37 ms       111.22 ms       119.09 ms       127.01 ms      | Avg Time:  7610.73 ms
Size: 1536 | Runs:   138.41 ms    150.61 ms       163.08 ms       176.03 ms       189.17 ms      | Avg Time: 12246.50 ms
Size: 1664 | Runs:   202.61 ms    216.83 ms       230.23 ms       244.24 ms       257.88 ms      | Avg Time: 13518.86 ms
Size: 1792 | Runs:   276.70 ms    295.40 ms       312.21 ms       331.32 ms       350.43 ms      | Avg Time: 18245.72 ms
Size: 1920 | Runs:   372.41 ms    394.45 ms       416.70 ms       439.78 ms       461.85 ms      | Avg Time: 21998.27 ms
Size: 2048 | Runs:   508.33 ms    556.15 ms       605.24 ms       660.28 ms       715.86 ms      | Avg Time: 50461.18 ms

Processes: 14
Size:  128 | Runs:     0.21 ms      0.47 ms         0.75 ms         0.95 ms         1.11 ms      | Avg Time:   221.39 ms
Size:  256 | Runs:     1.32 ms      1.59 ms         1.89 ms         2.12 ms         2.30 ms      | Avg Time:   234.44 ms
Size:  384 | Runs:     2.55 ms      2.78 ms         3.04 ms         3.29 ms         3.57 ms      | Avg Time:   243.12 ms
Size:  512 | Runs:     3.99 ms      4.38 ms         4.73 ms         5.12 ms         5.55 ms      | Avg Time:   375.37 ms
Size:  640 | Runs:     6.18 ms      6.80 ms         7.48 ms         8.10 ms         8.77 ms      | Avg Time:   603.07 ms
Size:  768 | Runs:    10.07 ms     11.46 ms        12.74 ms        14.09 ms        15.45 ms      | Avg Time:  1275.59 ms
Size:  896 | Runs:    17.18 ms     18.88 ms        20.71 ms        22.41 ms        24.03 ms      | Avg Time:  1647.24 ms
Size: 1024 | Runs:    27.65 ms     31.07 ms        34.18 ms        37.31 ms        40.33 ms      | Avg Time:  3162.87 ms
Size: 1152 | Runs:    44.01 ms     48.02 ms        52.00 ms        55.98 ms        59.66 ms      | Avg Time:  3750.11 ms
Size: 1280 | Runs:    65.62 ms     71.96 ms        78.01 ms        84.06 ms        90.15 ms      | Avg Time:  5982.76 ms
