(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpicxx matmul.cpp -o matmul -lstdc++
(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 1 ./matmul
Size: 1280 | Runs: 6439.48ms 6217.35ms 6155.05ms 6326.57ms 6341.00ms | Avg: 6295.89ms
Size: 1408 | Runs: 7395.98ms 7881.42ms 8058.03ms 9127.75ms 8430.68ms | Avg: 8178.77ms
Size: 1536 | Runs: 12881.65ms 12932.48ms 13210.79ms 13345.18ms 13533.75ms | Avg: 13180.77ms
Size: 1664 | Runs: 13325.46ms 13547.51ms 14379.31ms 17148.44ms 14014.37ms | Avg: 14483.02ms
Size: 1792 | Runs: 18190.14ms 19117.34ms 18697.14ms 19259.97ms 20254.18ms | Avg: 19103.75ms
Size: 1920 | Runs: 21987.62ms 24141.43ms 22720.94ms 23889.32ms 23936.03ms | Avg: 23335.07ms
Size: 2048 | Runs: 47692.35ms 46662.78ms 42578.51ms 45303.05ms 46573.65ms | Avg: 45762.07ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root -np 8 ./matmul
Size:  128 | Runs:   3.47ms   1.88ms   1.75ms   1.75ms   1.93ms | Avg:   2.16ms
Size:  256 | Runs:  19.27ms  17.36ms  17.14ms  17.70ms  16.99ms | Avg:  17.69ms
Size:  384 | Runs:  66.66ms  57.85ms  57.74ms  61.97ms  63.25ms | Avg:  61.50ms
Size:  512 | Runs: 210.37ms 234.96ms 213.24ms 222.18ms 187.83ms | Avg: 213.72ms
Size:  640 | Runs: 463.71ms 434.18ms 444.45ms 441.86ms 438.27ms | Avg: 444.50ms
Size:  768 | Runs: 1034.70ms 965.85ms 1062.02ms 1062.53ms 1080.68ms | Avg: 1041.16ms
Size:  896 | Runs: 1376.79ms 1394.63ms 1516.10ms 1509.85ms 1553.55ms | Avg: 1470.19ms
Size: 1024 | Runs: 2638.05ms 2716.99ms 2891.16ms 2851.85ms 3363.69ms | Avg: 2892.35ms
Size: 1152 | Runs: 3820.37ms 3934.88ms 4095.56ms 4331.72ms 5116.24ms | Avg: 4259.75ms
Size: 1280 | Runs: 5988.44ms 5848.34ms 5877.97ms 5803.30ms 5659.94ms | Avg: 5835.60ms
Size: 1408 | Runs: 7237.42ms 6893.05ms 7340.36ms 6839.40ms 7034.66ms | Avg: 7068.98ms
Size: 1536 | Runs: 12190.77ms 11808.48ms 11288.96ms 11556.26ms 12297.38ms | Avg: 11828.37ms
Size: 1664 | Runs: 12753.07ms 12929.37ms 13037.10ms 14170.27ms 13788.27ms | Avg: 13335.61ms
Size: 1792 | Runs: 17771.76ms 21306.72ms 18442.17ms 24079.56ms 21390.03ms | Avg: 20598.05ms
Size: 1920 | Runs: 20618.05ms 25599.40ms 21729.89ms 21488.10ms 21530.38ms | Avg: 22193.17ms
Size: 2048 | Runs: 35877.84ms 38044.00ms 43142.29ms 35097.88ms 37250.55ms | Avg: 37882.51ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root --use-hwthread-cpus -np 9 ./matmul
Size:  128 | Runs:   1.91ms   1.77ms   1.94ms   1.63ms   1.66ms | Avg:   1.78ms
Size:  256 | Runs:  15.64ms  15.31ms  25.70ms  16.03ms  15.30ms | Avg:  17.60ms
Size:  384 | Runs:  63.81ms  63.16ms  63.64ms  61.36ms  62.50ms | Avg:  62.89ms
Size:  512 | Runs: 232.86ms 272.64ms 288.19ms 268.84ms 296.80ms | Avg: 271.87ms
Size:  640 | Runs: 503.66ms 420.64ms 461.58ms 516.25ms 510.02ms | Avg: 482.43ms
Size:  768 | Runs: 1128.82ms 1066.44ms 1152.58ms 1245.07ms 1099.68ms | Avg: 1138.52ms
Size:  896 | Runs: 1569.55ms 1467.16ms 1565.11ms 1472.07ms 1402.39ms | Avg: 1495.26ms
Size: 1024 | Runs: 2867.85ms 3068.66ms 3293.88ms 3678.90ms 3220.26ms | Avg: 3225.91ms
Size: 1152 | Runs: 3988.43ms 4030.00ms 3996.59ms 3542.67ms 3563.90ms | Avg: 3824.32ms
Size: 1280 | Runs: 6206.70ms 6439.22ms 6090.42ms 5917.76ms 5894.97ms | Avg: 6109.82ms
Size: 1408 | Runs: 7491.59ms 7255.34ms 7990.97ms 7595.75ms 8011.94ms | Avg: 7669.12ms
Size: 1536 | Runs: 13438.24ms 14387.08ms 12981.62ms 13876.44ms 13620.67ms | Avg: 13660.81ms
Size: 1664 | Runs: 13200.12ms 13624.60ms 15434.68ms 17105.81ms 15102.86ms | Avg: 14893.61ms
Size: 1792 | Runs: 20040.22ms 18392.62ms 16928.33ms 17653.87ms 17967.22ms | Avg: 18196.45ms
Size: 1920 | Runs: 21580.40ms 20770.22ms 21451.32ms 19880.54ms 20342.82ms | Avg: 20805.06ms
Size: 2048 | Runs: 31273.43ms 35905.72ms 31960.81ms 35112.78ms 33166.54ms | Avg: 33483.86ms

(.YatPC) root@DESKTOP-RUEFJE0:/home/billyfu/YatPC/lab1# mpirun --allow-run-as-root --use-hwthread-cpus -np 10 ./matmul
