Matrix,Size,ThreadsPolicy,Time(ms),Correct
1536,6,DYNAMIC,3086.98,Yes
1536,7,DYNAMIC,2686.75,Yes
1536,8,DYNAMIC,2590.97,Yes
1536,9,DYNAMIC,2525.2,Yes
1536,10,DYNAMIC,2527.34,Yes
1536,11,DYNAMIC,2720.95,Yes
1536,12,DYNAMIC,2710.6,Yes
1536,13,DYNAMIC,2799.93,Yes
1536,14,DYNAMIC,2917.59,Yes
1536,15,DYNAMIC,3008.66,Yes
1536,16,DYNAMIC,3311.35,Yes
1664,1,DYNAMIC,10799.82,Yes
1664,2,DYNAMIC,6435.24,Yes
1664,3,DYNAMIC,4743.62,Yes
1664,4,DYNAMIC,3984.64,Yes
1664,5,DYNAMIC,3420.04,Yes
1664,6,DYNAMIC,3000.15,Yes
1664,7,DYNAMIC,2884.51,Yes
1664,8,DYNAMIC,2615.63,Yes
1664,9,DYNAMIC,2493.38,Yes
1664,10,DYNAMIC,2473.04,Yes
1664,11,DYNAMIC,2539.19,Yes
1664,12,DYNAMIC,2363.73,Yes
1664,13,DYNAMIC,2633.89,Yes
1664,14,DYNAMIC,2965.86,Yes
1664,15,DYNAMIC,3124.38,Yes
1664,16,DYNAMIC,3100.91,Yes
1792,1,DYNAMIC,20832.5,Yes
1792,2,DYNAMIC,11240.57,Yes
1792,3,DYNAMIC,8702.79,Yes
1792,4,DYNAMIC,6536.65,Yes
1792,5,DYNAMIC,5996.23,Yes
1792,6,DYNAMIC,5374.6,Yes
1792,7,DYNAMIC,5070.66,Yes
1792,8,DYNAMIC,4988.63,Yes
1792,9,DYNAMIC,4917.18,Yes
1792,10,DYNAMIC,4762.56,Yes
1792,11,DYNAMIC,4861.64,Yes
1792,12,DYNAMIC,4962.16,Yes
1792,13,DYNAMIC,5108.23,Yes
1792,14,DYNAMIC,5325.19,Yes
1792,15,DYNAMIC,5284.4,Yes
1792,16,DYNAMIC,5592.09,Yes
1920,1,DYNAMIC,20646.41,Yes
1920,2,DYNAMIC,10683.53,Yes
1920,3,DYNAMIC,7923.64,Yes
1920,4,DYNAMIC,6537.96,Yes
1920,5,DYNAMIC,5704.47,Yes
1920,6,DYNAMIC,5198.18,Yes
1920,7,DYNAMIC,4889.99,Yes
1920,8,DYNAMIC,4728.94,Yes
1920,9,DYNAMIC,4454.32,Yes
1920,10,DYNAMIC,4357.85,Yes
1920,11,DYNAMIC,4418.72,Yes
1920,12,DYNAMIC,4599.63,Yes
1920,13,DYNAMIC,4751.12,Yes
1920,14,DYNAMIC,4944.72,Yes
1920,15,DYNAMIC,5422.08,Yes
1920,16,DYNAMIC,5582.65,Yes
2048,1,DYNAMIC,53169.65,Yes
2048,2,DYNAMIC,21301.5,Yes
2048,3,DYNAMIC,16468.55,Yes
2048,4,DYNAMIC,12334.68,Yes
2048,5,DYNAMIC,10268.3,Yes
2048,6,DYNAMIC,9039.48,Yes
2048,7,DYNAMIC,8061.64,Yes
2048,8,DYNAMIC,7626,Yes
2048,9,DYNAMIC,7609.79,Yes
2048,10,DYNAMIC,7748.37,Yes
2048,11,DYNAMIC,7054.38,Yes
2048,12,DYNAMIC,7240.35,Yes
2048,13,DYNAMIC,7080.72,Yes
2048,14,DYNAMIC,7196.94,Yes
2048,15,DYNAMIC,7206.86,Yes
2048,16,DYNAMIC,7271.97,Yes
